Algorithm,TestType,ArraySize,Duration_ms
Insertion Sort,Already Sorted,20000,1.9518
Insertion Sort,Reverse Sorted,20000,1.9638
Selection Sort,Mixed,10,0.0106
Selection Sort,All Negative,10,0.0108
Selection Sort,All Positive,10,0.0075
Selection Sort,Already Sorted,10,0.0115
Selection Sort,Reverse Sorted,10,0.0073
Selection Sort,Mixed,50,0.1707
Selection Sort,All Negative,50,0.1777
Selection Sort,All Positive,50,0.1455
Selection Sort,Already Sorted,50,0.1726
Selection Sort,Reverse Sorted,50,0.1794
Selection Sort,Mixed,100,0.6922
Selection Sort,All Negative,100,0.7525
Selection Sort,All Positive,100,0.6654
Selection Sort,Already Sorted,100,0.6332
Selection Sort,Reverse Sorted,100,0.6707
Selection Sort,Mixed,300,5.2233
Selection Sort,All Negative,300,4.6694
Selection Sort,All Positive,300,4.9191
Selection Sort,Already Sorted,300,5.0059
Selection Sort,Reverse Sorted,300,4.9822
Selection Sort,Mixed,750,27.4447
Selection Sort,All Negative,750,27.2313
Selection Sort,All Positive,750,26.2112
Selection Sort,Already Sorted,750,26.3966
Selection Sort,Reverse Sorted,750,26.8984
Selection Sort,Mixed,1000,46.2652
Selection Sort,All Negative,1000,47.4024
Selection Sort,All Positive,1000,47.8902
Selection Sort,Already Sorted,1000,57.4972
Selection Sort,Reverse Sorted,1000,61.8105
Selection Sort,Mixed,3000,434.704
Selection Sort,All Negative,3000,604.089
Selection Sort,All Positive,3000,469.418
Selection Sort,Already Sorted,3000,427.839
Selection Sort,Reverse Sorted,3000,516.662
Selection Sort,Mixed,4500,1126.9
Selection Sort,All Negative,4500,1294.91
Selection Sort,All Positive,4500,1251.78
Selection Sort,Already Sorted,4500,1124.93
Selection Sort,Reverse Sorted,4500,1142.25
Selection Sort,Mixed,6000,1986.72
Selection Sort,All Negative,6000,1997.47
Selection Sort,All Positive,6000,1932.46
Selection Sort,Already Sorted,6000,2166.66
Selection Sort,Reverse Sorted,6000,2054.16
Selection Sort,Mixed,7000,2656.74
Selection Sort,All Negative,7000,2657.34
Selection Sort,All Positive,7000,2692.77
Selection Sort,Already Sorted,7000,2710.46
Selection Sort,Reverse Sorted,7000,2664.59
Selection Sort,Mixed,8000,3544.23
Selection Sort,All Negative,8000,3798.18
Selection Sort,All Positive,8000,3510.7
Selection Sort,Already Sorted,8000,3684.97
Selection Sort,Reverse Sorted,8000,3479.54
Selection Sort,Mixed,9000,4433.89
Selection Sort,All Negative,9000,4542.95
Selection Sort,All Positive,9000,4450.73
Selection Sort,Already Sorted,9000,4463.49
Selection Sort,Reverse Sorted,9000,4338.6
Selection Sort,Mixed,10000,5465.34
Selection Sort,All Negative,10000,5480.81
Selection Sort,All Positive,10000,5496.5
Selection Sort,Already Sorted,10000,5420.83
Selection Sort,Reverse Sorted,10000,5439.94
Selection Sort,Mixed,15000,12634
Selection Sort,All Negative,15000,12454
Selection Sort,All Positive,15000,12254.9
Selection Sort,Already Sorted,15000,12202.5
Selection Sort,Reverse Sorted,15000,12425.7
Selection Sort,Mixed,20000,21710.7
Selection Sort,All Negative,20000,22696.7
Selection Sort,All Positive,20000,24545.7
Selection Sort,Already Sorted,20000,23959.2
Selection Sort,Reverse Sorted,20000,22674.9
Shell Sort,Mixed,10,0.0114
Shell Sort,All Negative,10,0.007
Shell Sort,All Positive,10,0.0066
Shell Sort,Already Sorted,10,0.0047
Shell Sort,Reverse Sorted,10,0.0047
Shell Sort,Mixed,50,0.0408
Shell Sort,All Negative,50,0.122
Shell Sort,All Positive,50,0.0378
Shell Sort,Already Sorted,50,0.0298
Shell Sort,Reverse Sorted,50,0.0301
Shell Sort,Mixed,100,0.1447
Shell Sort,All Negative,100,0.1182
Shell Sort,All Positive,100,0.0989
Shell Sort,Already Sorted,100,0.0513
Shell Sort,Reverse Sorted,100,0.0526
